question_id,label,response,difficulty,input_tokens,output_tokens,total_tokens,correct
sample_1,C,B,basic,272,749,1021,0
sample_2,E,E,basic,228,753,981,1
sample_3,C,C,basic,403,1495,1898,1
sample_4,D,B,basic,433,3636,4069,0
sample_5,B,B,basic,271,1215,1486,1
sample_6,E,C,basic,228,996,1224,0
sample_7,D,D,basic,211,1121,1332,1
sample_8,C,C,basic,294,1023,1317,1
sample_9,C,C,basic,259,763,1022,1
sample_10,A,A,basic,214,1721,1935,1
sample_11,E,E,basic,389,875,1264,1
sample_12,D,D,basic,367,1224,1591,1
sample_13,B,B,basic,247,805,1052,1
sample_14,E,E,basic,271,1592,1863,1
sample_15,D,D,basic,255,566,821,1
sample_16,B,B,basic,294,1306,1600,1
sample_17,E,,basic,330,1299,1629,0
sample_18,E,E,basic,304,691,995,1
sample_19,B,B,basic,342,1288,1630,1
sample_20,E,C,basic,270,1305,1575,0
sample_21,C,A,basic,313,1546,1859,0
sample_22,A,A,basic,268,2340,2608,1
sample_23,D,D,basic,326,3578,3904,1
sample_24,E,A,basic,343,1256,1599,0
sample_25,A,A,basic,419,1411,1830,1
sample_26,E,E,basic,177,774,951,1
sample_27,E,E,basic,321,643,964,1
sample_28,A,A,basic,315,946,1261,1
sample_29,D,D,basic,383,859,1242,1
sample_30,D,A,basic,288,1341,1629,0
sample_31,E,E,basic,364,1057,1421,1
sample_32,C,D,basic,213,1032,1245,0
sample_33,E,E,basic,328,1623,1951,1
sample_34,B,A,basic,242,4186,4428,0
sample_35,B,A,basic,462,2837,3299,0
sample_36,A,A,basic,247,1393,1640,1
sample_37,E,E,basic,211,1411,1622,1
sample_38,A,A,basic,220,1087,1307,1
sample_39,E,,basic,390,3558,3948,0
sample_40,A,A,basic,257,794,1051,1
sample_41,D,D,basic,407,1109,1516,1
sample_42,C,C,basic,505,924,1429,1
sample_43,A,A,basic,382,1461,1843,1
sample_44,C,C,basic,174,958,1132,1
sample_45,B,B,basic,372,2972,3344,1
sample_46,E,A,basic,307,1500,1807,0
sample_47,C,,basic,288,647,935,0
sample_48,A,A,basic,344,972,1316,1
sample_49,B,B,basic,277,751,1028,1
sample_50,D,D,basic,267,848,1115,1
sample_51,E,E,basic,164,1017,1181,1
sample_52,A,A,basic,343,1327,1670,1
sample_53,D,D,basic,210,1538,1748,1
sample_54,D,D,basic,203,758,961,1
sample_55,B,B,basic,236,790,1026,1
sample_56,B,B,basic,286,1108,1394,1
sample_57,C,C,basic,169,878,1047,1
sample_58,B,B,basic,277,1037,1314,1
sample_59,C,C,basic,472,1361,1833,1
sample_60,A,C,basic,309,1136,1445,0
sample_61,D,D,basic,257,1082,1339,1
sample_62,A,A,basic,206,697,903,1
sample_63,D,A,basic,345,1605,1950,0
sample_64,A,A,basic,410,1443,1853,1
sample_65,A,C,basic,310,2548,2858,0
sample_66,C,C,basic,275,943,1218,1
sample_67,D,D,basic,300,780,1080,1
sample_68,C,C,basic,350,1201,1551,1
sample_69,D,D,basic,317,678,995,1
sample_70,A,A,basic,311,4198,4509,1
sample_71,A,A,basic,477,1347,1824,1
sample_72,A,A,basic,303,1545,1848,1
sample_73,C,C,basic,520,1732,2252,1
sample_74,B,B,basic,270,1190,1460,1
sample_75,C,E,basic,378,1802,2180,0
sample_76,A,A,basic,241,668,909,1
sample_77,B,B,basic,311,1017,1328,1
sample_78,B,D,basic,244,1865,2109,0
sample_79,D,D,basic,235,1247,1482,1
sample_80,C,C,basic,362,694,1056,1
sample_81,B,B,basic,178,856,1034,1
sample_82,B,E,basic,239,3013,3252,0
sample_83,C,C,basic,218,869,1087,1
sample_84,B,B,basic,404,1134,1538,1
sample_85,D,D,basic,343,958,1301,1
sample_86,C,C,basic,326,3870,4196,1
sample_87,C,C,basic,279,1139,1418,1
sample_88,D,D,basic,472,1572,2044,1
sample_89,C,B,basic,370,1024,1394,0
sample_90,C,C,basic,341,911,1252,1
sample_91,E,C,basic,299,1125,1424,0
sample_92,B,B,basic,302,749,1051,1
sample_93,D,D,basic,252,1796,2048,1
sample_94,E,C,basic,350,1140,1490,0
sample_95,C,C,basic,340,652,992,1
sample_96,D,D,basic,302,1067,1369,1
sample_97,A,A,basic,345,1099,1444,1
sample_98,B,B,basic,228,1018,1246,1
sample_99,C,C,basic,224,1132,1356,1
sample_100,C,C,basic,232,557,789,1
sample_101,E,E,basic,381,1212,1593,1
sample_102,A,A,basic,233,752,985,1
sample_103,A,A,basic,183,789,972,1
sample_104,A,A,basic,392,1301,1693,1
sample_105,C,C,basic,331,1907,2238,1
sample_106,B,B,basic,274,1059,1333,1
sample_107,C,A,basic,334,2038,2372,0
sample_108,A,A,basic,240,2335,2575,1
sample_109,E,E,basic,276,1295,1571,1
sample_110,C,C,basic,376,888,1264,1
sample_111,D,D,basic,497,1876,2373,1
sample_112,C,C,basic,345,1390,1735,1
sample_113,B,A,basic,321,968,1289,0
sample_114,D,D,basic,311,1482,1793,1
sample_115,D,D,basic,316,1336,1652,1
sample_116,E,E,basic,202,745,947,1
sample_117,D,D,basic,277,1769,2046,1
sample_118,D,D,basic,413,1135,1548,1
sample_119,E,E,basic,397,1096,1493,1
sample_120,C,C,basic,283,1079,1362,1
sample_121,D,D,basic,296,1803,2099,1
sample_122,B,B,basic,319,710,1029,1
sample_123,E,E,basic,294,813,1107,1
sample_124,A,A,basic,356,1739,2095,1
sample_125,B,B,basic,176,743,919,1
sample_126,A,A,basic,277,832,1109,1
sample_127,A,A,basic,399,1122,1521,1
sample_128,D,D,basic,262,805,1067,1
sample_129,A,C,basic,410,2855,3265,0
sample_130,A,A,basic,363,954,1317,1
sample_131,B,B,basic,388,1299,1687,1
sample_132,B,B,basic,235,704,939,1
sample_133,A,A,basic,371,1541,1912,1
sample_134,B,B,basic,258,922,1180,1
sample_135,A,A,basic,219,813,1032,1
sample_136,C,C,basic,269,1292,1561,1
sample_137,D,D,basic,231,986,1217,1
